order,page,route,title,component,source_file,source_bytes,source_exists,image_signals,media_signals,interaction_signals,narrative_signals,gift_signals,shared_template,design_tokens,source_fingerprint,thin_candidate,broken_candidate,note,memory,compliment,gift,message,surprise
"210","210","/love-letter-popup-3d","A Letter That Opens for You","LoveLetterPopUp3DPage","src/pages/LoveLetterPopUp3DPage.jsx + src/components/LoveLetterPopUp3D.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","56177","true","7","27","57","209","37","LoveLetterPopUp3D","text-rose-400 text-center rounded-3xl bg-slate-950 border-4 border-rose-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","087fd1ed95","NO","NO","A Letter That Opens for You uses LoveLetterPopUp3DPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a private letter from Abu. Voice: Samjhana, my Sanu, Abu made the Love Letter Popup 3d room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are lo.","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a private letter from Abu","Samjhana, my Sanu, Abu made the Love Letter Popup 3d room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are lo","Open this when you miss Abu. Your smile makes Abu forget what he was worried about. This page is Abu’s a promise folded into a keepsake card for Babe."
"211","211","/love-memory-film-strip","Our Story on Film","LoveMemoryFilmStripPage","src/pages/LoveMemoryFilmStripPage.jsx + src/components/LoveMemoryFilmStrip.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","61138","true","7","27","60","200","53","LoveMemoryFilmStrip","text-amber-400 text-center rounded-full text-xs font-bold bg-amber-500 text-black border-amber-300 font-extrabold bg-stone-900 text-amber-300 border-amber-500/30","1fc2c6c956","NO","NO","Our Story on Film uses LoveMemoryFilmStripPage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Bhuntu, Abu made the Love Memory Film Strip room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a promise map for the places we still want to see","Samjhana, my Bhuntu, Abu made the Love Memory Film Strip room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page "
"212","212","/love-candlelight-dinner","A Table for Abu and Sanzu","LoveCandleLightDinnerPage","src/pages/LoveCandleLightDinnerPage.jsx + src/components/LoveCandleLightDinner.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55905","true","7","27","54","174","35","LoveCandleLightDinner","text-amber-400 text-center rounded-3xl bg-slate-950 border-4 border-amber-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","4646c1027b","NO","NO","A Table for Abu and Sanzu uses LoveCandleLightDinnerPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a small surprise box with one true thing inside. Voice: Samjhana, my Sanzu, Abu made the Love Candlelight Dinner room around the dream of Pokhara, Manang, and Mustang waiting for us. Keep this for the next .","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a small surprise box with one true thing inside","Samjhana, my Sanzu, Abu made the Love Candlelight Dinner room around the dream of Pokhara, Manang, and Mustang waiting for us. Keep this for the next ","Read this slowly, Sanu. It was made for your exact heart. You are beautiful in the moments you never think to pose for. This page is Abu’s a birthday "
"213","213","/bhuntu-nicknames-galaxy","The Galaxy of Names Abu Calls You","BhuntuNicknamesGalaxyPage","src/pages/BhuntuNicknamesGalaxyPage.jsx + src/components/BhuntuNicknamesGalaxy.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","61564","true","7","27","59","185","35","BhuntuNicknamesGalaxy","text-purple-300 text-center rounded-3xl bg-slate-950 border-4 border-purple-500/70 shadow-[0_0_50px_rgba text-xs font-mono font-bold bg-purple-950/40 rounded-2xl","abb9109dd0","NO","NO","The Galaxy of Names Abu Calls You uses BhuntuNicknamesGalaxyPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a small surprise box with one true thing inside. Voice: Samjhana, my Bhuntu, Abu made the Bhuntu Nicknames Galaxy room around the room-search conversation that started in Nepalgunj. Keep this for the next t.","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a small surprise box with one true thing inside","Samjhana, my Bhuntu, Abu made the Bhuntu Nicknames Galaxy room around the room-search conversation that started in Nepalgunj. Keep this for the next t","Read this slowly, Sanu. It was made for your exact heart. You are the best part of every future Abu imagines. This page is Abu’s a birthday blessing w"
"214","214","/love-fortune-cookie-jar","Fortunes Abu Writes for You","LoveFortuneCookieJarPage","src/pages/LoveFortuneCookieJarPage.jsx + src/components/LoveFortuneCookieJar.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","63173","true","7","27","78","172","36","LoveFortuneCookieJar","rounded-full bg-amber-400 text-amber-400 rounded-t-xl bg-amber-600/40 rounded-b-[3rem] border-2 border-amber-300/30 text-[8px] font-mono font-bold text-amber-700/70","17e665a3a8","NO","NO","Fortunes Abu Writes for You uses LoveFortuneCookieJarPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a private letter from Abu. Voice: Samjhana, my Sanzu, Abu made the Love Fortune Cookie Jar room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder tha.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a private letter from Abu","Samjhana, my Sanzu, Abu made the Love Fortune Cookie Jar room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder tha","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a promise folded into a"
"215","215","/couple-bucket-list-globe","Our Future Places on a Globe","CoupleBucketListGlobePage","src/pages/CoupleBucketListGlobePage.jsx + src/components/CoupleBucketListGlobe.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","62829","true","7","27","59","172","35","CoupleBucketListGlobe","text-sky-400 text-center text-xs font-mono font-bold text-sky-300 bg-sky-950/40 rounded-2xl border-sky-400/30 text-amber-300 font-extrabold rounded-full","c2b2f8ec05","NO","NO","Our Future Places on a Globe uses CoupleBucketListGlobePage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Bebo, Abu made the Couple Bucket List Globe room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a compliment saved for your next tired day","Samjhana, my Bebo, Abu made the Couple Bucket List Globe room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page "
"216","216","/love-audio-visualizer-2","The Shape of Your Voice","LoveAudioVisualizer2Page","src/pages/LoveAudioVisualizer2Page.jsx + src/components/LoveAudioVisualizer2.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55799","true","7","27","54","171","35","LoveAudioVisualizer2","text-sky-400 text-center rounded-3xl bg-slate-950 border-4 border-sky-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","4cde3dd915","NO","NO","The Shape of Your Voice uses LoveAudioVisualizer2Page. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a memory ribbon tied to your favourite name. Voice: Samjhana, my Fuchee, Abu made the Love Audio Visualizer 2 room around Chau-Chau, Panipuri, momo, and the foods that became our language. The secret is.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a memory ribbon tied to your favourite name","Samjhana, my Fuchee, Abu made the Love Audio Visualizer 2 room around Chau-Chau, Panipuri, momo, and the foods that became our language. The secret is","The gift inside is not expensive; it is specific to you. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a soft landing"
"217","217","/romantic-photo-slider-3d","A Slow Gallery of Samjhana","RomanticPhotoSlider3DPage","src/pages/RomanticPhotoSlider3DPage.jsx + src/components/RomanticPhotoSlider3D.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","60904","true","8","28","71","168","37","RomanticPhotoSlider3D","bg-stone-900 rounded-sm bg-stone-950 border-stone-700 shadow-inner text-amber-300 font-mono text-[10px] text-amber-500/80 rounded-full bg-amber-400 bg-stone-600","c4c0ca0f05","NO","NO","A Slow Gallery of Samjhana uses RomanticPhotoSlider3DPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Babe, Abu made the Romantic Photo Slider 3d room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you mis.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a compliment saved for your next tired day","Samjhana, my Babe, Abu made the Romantic Photo Slider 3d room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you mis","The secret is simple: Abu would still choose you in every version of the story. You make ordinary food, ordinary calls, and ordinary rooms feel like m"
"218","218","/love-stamp-collection","Stamps Abu Collected for You","LoveStampCollectionPage","src/pages/LoveStampCollectionPage.jsx + src/components/LoveStampCollection.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","57693","true","7","27","55","173","35","LoveStampCollection","text-rose-500 text-center rounded-3xl bg-amber-950/40 border-4 border-amber-500/70 shadow-2xl bg-black/80 rounded-2xl border-amber-400/40 text-amber-300 font-mono","139eb0f6e5","NO","NO","Stamps Abu Collected for You uses LoveStampCollectionPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a soft landing place for a difficult day. Voice: Samjhana, my Bhuntu, Abu made the Love Stamp Collection room around the room-search conversation that started in Nepalgunj. Keep this for the next tim.","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a soft landing place for a difficult day","Samjhana, my Bhuntu, Abu made the Love Stamp Collection room around the room-search conversation that started in Nepalgunj. Keep this for the next tim","Read this slowly, Sanu. It was made for your exact heart. You are the best part of every future Abu imagines. This page is Abu’s a bouquet of words fo"
"219","219","/romantic-night-skywriter","A Message Abu Wrote in the Night","RomanticNightSkyWriterPage","src/pages/RomanticNightSkyWriterPage.jsx + src/components/RomanticNightSkyWriter.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","57995","true","7","27","59","170","45","RomanticNightSkyWriter","text-purple-300 text-center rounded-3xl bg-slate-950 border-4 border-purple-500/70 shadow-[0_0_50px_rgba rounded-2xl bg-gradient-to-b from-slate-950 via-purple-950 to-indigo-950","2b9ca5efb6","NO","NO","A Message Abu Wrote in the Night uses RomanticNightSkyWriterPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a quiet “open when” note for your pocket. Voice: Samjhana, my Bebo, Abu made the Romantic Night Skywriter room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft pla.","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a quiet “open when” note for your pocket","Samjhana, my Bebo, Abu made the Romantic Night Skywriter room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft pla","A small surprise: Abu remembers more than he says. You are beautiful in the moments you never think to pose for. This page is Abu’s a promise map for "
"220","220","/couple-recipe-book","Recipes for Our Future Days","CoupleRecipeBookPage","src/pages/CoupleRecipeBookPage.jsx + src/components/CoupleRecipeBook.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","58465","true","7","27","61","169","35","CoupleRecipeBook","text-amber-400 text-center rounded-3xl bg-slate-950 border-4 border-amber-500/70 shadow-2xl rounded-2xl bg-amber-950/30 border-2 border-amber-400/40 shadow-inner","bf9b4859aa","NO","NO","Recipes for Our Future Days uses CoupleRecipeBookPage. Memory: dropping you at the Language Institute before Japan. Gift: a tiny cinema ticket for one moment Abu would replay. Voice: Samjhana, my Bhoot, Abu made the Couple Recipe Book room around dropping you at the Language Institute before Japan. Read this slowly, Sanu. It was ma.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a tiny cinema ticket for one moment Abu would replay","Samjhana, my Bhoot, Abu made the Couple Recipe Book room around dropping you at the Language Institute before Japan. Read this slowly, Sanu. It was ma","This page is a soft place to land when your day is heavy. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves."
"221","221","/love-constellation-maker","A Constellation for Sanzu","LoveConstellationMakerPage","src/pages/LoveConstellationMakerPage.jsx + src/components/LoveConstellationMaker.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","58797","true","7","27","59","167","36","LoveConstellationMaker","text-purple-300 text-center rounded-3xl bg-slate-950 border-4 border-purple-500/70 shadow-[0_0_50px_rgba rounded-full border-amber-400/80 bg-gradient-to-b from-purple-950/60 via-slate-950","8c6128efc0","NO","NO","A Constellation for Sanzu uses LoveConstellationMakerPage. Memory: the day “Abhay” became “Abu” because you made it yours. Gift: a future postcard from the light-blue scooter road. Voice: Samjhana, my Fuchee, Abu made the Love Constellation Maker room around the day “Abhay” became “Abu” because you made it yours. Read this slowly, Sanu..","the day “Abhay” became “Abu” because you made it yours","You are the person behind every name Abu says with a softer voice.","a future postcard from the light-blue scooter road","Samjhana, my Fuchee, Abu made the Love Constellation Maker room around the day “Abhay” became “Abu” because you made it yours. Read this slowly, Sanu.","This page is a soft place to land when your day is heavy. You are the person behind every name Abu says with a softer voice. This page is Abu’s a Bage"
"222","222","/bhuntu-love-polaroids","Bhuntu Love Polaroids","BhuntuLovePolaroidsPage","src/pages/BhuntuLovePolaroidsPage.jsx + src/components/BhuntuLovePolaroids.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55594","true","7","27","54","180","36","BhuntuLovePolaroids","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-pink-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","54bc189d5f","NO","NO","Bhuntu Love Polaroids uses BhuntuLovePolaroidsPage. Memory: Water Park laughter and the day moving too quickly. Gift: a quiet “open when” note for your pocket. Voice: Samjhana, my Sanzu, Abu made the Bhuntu Love Polaroids room around Water Park laughter and the day moving too quickly. This page is a soft place to la.","Water Park laughter and the day moving too quickly","Your “huss” can make a long day feel close again.","a quiet “open when” note for your pocket","Samjhana, my Sanzu, Abu made the Bhuntu Love Polaroids room around Water Park laughter and the day moving too quickly. This page is a soft place to la","A small surprise: Abu remembers more than he says. Your “huss” can make a long day feel close again. This page is Abu’s a promise map for the places w"
"223","223","/love-tarot-oracle-2","The Future Abu Wishes You","LoveTarotOracle2Page","src/pages/LoveTarotOracle2Page.jsx + src/components/LoveTarotOracle2.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","57707","true","7","27","57","173","39","LoveTarotOracle2","text-purple-300 rounded-3xl border-2 shadow-2xl bg-slate-950 border-purple-400/80 shadow-[0_0_30px_rgba bg-gradient-to-b from-purple-950 via-slate-950 to-indigo-950 border-amber-400/50","0b56089c68","NO","NO","The Future Abu Wishes You uses LoveTarotOracle2Page. Memory: the future light-blue scooter ride toward Bardiya. Gift: a memory ribbon tied to your favourite name. Voice: Samjhana, my Runchi, Abu made the Love Tarot Oracle 2 room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would s.","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a memory ribbon tied to your favourite name","Samjhana, my Runchi, Abu made the Love Tarot Oracle 2 room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would s","The gift inside is not expensive; it is specific to you. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu"
"224","224","/romantic-locket-changer","A Locket for the Person Abu Loves","RomanticLocketChangerPage","src/pages/RomanticLocketChangerPage.jsx + src/components/RomanticLocketChanger.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","57630","true","7","27","59","166","36","RomanticLocketChanger","from-amber-400 to-yellow-600 border-amber-300 shadow-amber-500/50 from-rose-400 to-pink-600 border-rose-300 shadow-rose-500/50 from-slate-300 to-stone-500 border-slate-200 shadow-slate-400/50","f7c0b07cfc","NO","NO","A Locket for the Person Abu Loves uses RomanticLocketChangerPage. Memory: dropping you at the Language Institute before Japan. Gift: a soft landing place for a difficult day. Voice: Samjhana, my Runchi, Abu made the Romantic Locket Changer room around dropping you at the Language Institute before Japan. Keep this for the next time.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a soft landing place for a difficult day","Samjhana, my Runchi, Abu made the Romantic Locket Changer room around dropping you at the Language Institute before Japan. Keep this for the next time","Read this slowly, Sanu. It was made for your exact heart. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves."
"225","225","/couple-movie-marathon","Movies Abu Wants to Watch with You","CoupleMovieMarathonPage","src/pages/CoupleMovieMarathonPage.jsx + src/components/CoupleMovieMarathon.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","58113","true","7","27","60","169","36","CoupleMovieMarathon","text-amber-400 rounded-3xl bg-gradient-to-b from-red-950 via-slate-950 to-stone-950 border-4 border-amber-500/70 shadow-[0_0_50px_rgba bg-black/90 rounded-2xl border-2","64ccd39b3b","NO","NO","Movies Abu Wants to Watch with You uses CoupleMovieMarathonPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a promise folded into a keepsake card. Voice: Samjhana, my Fuchee, Abu made the Couple Movie Marathon room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft plac.","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a promise folded into a keepsake card","Samjhana, my Fuchee, Abu made the Couple Movie Marathon room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft plac","A small surprise: Abu remembers more than he says. You are beautiful in the moments you never think to pose for. This page is Abu’s a compliment saved"
"226","226","/love-language-test","The Language of Your “Huss”","LoveLanguageTestPage","src/pages/LoveLanguageTestPage.jsx + src/components/LoveLanguageTest.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55853","true","7","27","54","176","35","LoveLanguageTest","text-rose-400 text-center rounded-3xl bg-slate-950 border-4 border-rose-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","8a4853cf24","NO","NO","The Language of Your “Huss” uses LoveLanguageTestPage. Memory: Water Park laughter and the day moving too quickly. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Bhoot, Abu made the Love Language Test room around Water Park laughter and the day moving too quickly. A small surprise: Abu remembers mo.","Water Park laughter and the day moving too quickly","Your “huss” can make a long day feel close again.","a tiny memory ticket from Nepalgunj","Samjhana, my Bhoot, Abu made the Love Language Test room around Water Park laughter and the day moving too quickly. A small surprise: Abu remembers mo","Keep this for the next time distance feels loud. Your “huss” can make a long day feel close again. This page is Abu’s a voice-note moment for the nigh"
"227","227","/love-potion-brewery-2","A Second Bottle of Abu’s Feelings","LovePotionBrewery2Page","src/pages/LovePotionBrewery2Page.jsx + src/components/LovePotionBrewery2.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55852","true","7","27","54","174","35","LovePotionBrewery2","text-purple-400 text-center rounded-3xl bg-slate-950 border-4 border-purple-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","e4beb8c1c5","NO","NO","A Second Bottle of Abu’s Feelings uses LovePotionBrewery2Page. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Bhoot, Abu made the Love Potion Brewery 2 room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when y.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a promise map for the places we still want to see","Samjhana, my Bhoot, Abu made the Love Potion Brewery 2 room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when y","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page "
"228","228","/romantic-message-grid","Messages Abu Arranged for You","RomanticMessageGridPage","src/pages/RomanticMessageGridPage.jsx + src/components/RomanticMessageGrid.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55437","true","7","27","54","170","63","RomanticMessageGrid","text-rose-400 text-center rounded-3xl bg-slate-950 border-4 border-rose-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","c3e4764052","NO","NO","Messages Abu Arranged for You uses RomanticMessageGridPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Bebo, Abu made the Romantic Message Grid room around the room-search conversation that started in Nepalgunj. A small surprise: Abu rememb.","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a tiny memory ticket from Nepalgunj","Samjhana, my Bebo, Abu made the Romantic Message Grid room around the room-search conversation that started in Nepalgunj. A small surprise: Abu rememb","Keep this for the next time distance feels loud. You are the best part of every future Abu imagines. This page is Abu’s a voice-note moment for the ni"
"229","229","/couple-anniversary-clock","The Time We Keep Together","CoupleAnniversaryClockPage","src/pages/CoupleAnniversaryClockPage.jsx + src/components/CoupleAnniversaryClock.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55836","true","7","27","54","163","35","CoupleAnniversaryClock","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-pink-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","91f6953376","NO","NO","The Time We Keep Together uses CoupleAnniversaryClockPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a quiet “open when” note for your pocket. Voice: Samjhana, my Sanu, Abu made the Couple Anniversary Clock room around the room-search conversation that started in Nepalgunj. This page is a soft place.","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a quiet “open when” note for your pocket","Samjhana, my Sanu, Abu made the Couple Anniversary Clock room around the room-search conversation that started in Nepalgunj. This page is a soft place","A small surprise: Abu remembers more than he says. You are the best part of every future Abu imagines. This page is Abu’s a promise map for the places"
"230","230","/love-doodle-canvas","A Doodle from Abu","LoveDoodleCanvasPage","src/pages/LoveDoodleCanvasPage.jsx + src/components/LoveDoodleCanvas.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55785","true","7","27","54","174","35","LoveDoodleCanvas","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-pink-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","a388de295a","NO","NO","A Doodle from Abu uses LoveDoodleCanvasPage. Memory: the day “Abhay” became “Abu” because you made it yours. Gift: a promise folded into a keepsake card. Voice: Samjhana, my Sanzu, Abu made the Love Doodle Canvas room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place to l.","the day “Abhay” became “Abu” because you made it yours","You are the person behind every name Abu says with a softer voice.","a promise folded into a keepsake card","Samjhana, my Sanzu, Abu made the Love Doodle Canvas room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place to l","A small surprise: Abu remembers more than he says. You are the person behind every name Abu says with a softer voice. This page is Abu’s a compliment "
"231","231","/bhuntu-comic-strip-2","The Comic Abu Would Draw for You","BhuntuComicStrip2Page","src/pages/BhuntuComicStrip2Page.jsx + src/components/BhuntuComicStrip2.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55926","true","7","27","54","179","35","BhuntuComicStrip2","text-purple-400 text-center rounded-3xl bg-slate-950 border-4 border-purple-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","2f290bcf02","NO","NO","The Comic Abu Would Draw for You uses BhuntuComicStrip2Page. Memory: Bageshwori Temple and the prayers we carried home. Gift: a private letter from Abu. Voice: Samjhana, my Bebo, Abu made the Bhuntu Comic Strip 2 room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are lo.","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a private letter from Abu","Samjhana, my Bebo, Abu made the Bhuntu Comic Strip 2 room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are lo","Open this when you miss Abu. Your smile makes Abu forget what he was worried about. This page is Abu’s a promise folded into a keepsake card for Fuche"
